TIME FRAME,PICK UP,DROP OFF,OTHER
day 1 - day 2,1,0,0
day 3 - day 4,0,0,0
day 5 - day 6,0,0,0
day 7 - day 8,0,0,0
day 9 - day 10,0,0,0
day 11 - day 12,0,0,0
day 13 - day 14,0,0,0
day 15 - day 16,0,0,0
day 17 - day 18,0,0,0
day 19 - day 20,0,0,0
day 21 - day 22,0,0,0
day 23 - day 24,0,0,0
day 25 - day 26,0,0,0
day 27 - day 28,0,0,0
day 29 - day 30,0,0,0
day 31 - day 32,0,0,0
day 33 - day 34,0,0,0
day 35 - day 36,0,0,0
day 37 - day 38,0,0,0
day 39 - day 40,0,0,0
day 41 - day 42,0,0,0
day 43 - day 44,0,0,0
day 45 - day 46,0,0,0
day 47 - day 48,0,0,0
day 49 - day 50,0,0,0
day 51 - day 52,0,0,0
day 53 - day 54,0,0,0
day 55 - day 56,0,0,0
day 57 - day 58,0,0,0
day 59 - day 60,0,0,0
day 61 - day 62,0,0,0
day 63 - day 64,0,0,0
day 65 - day 66,0,0,0
day 67 - day 68,0,0,0
day 69 - day 70,0,0,0
day 71 - day 72,0,0,0
day 73 - day 74,0,0,0
day 75 - day 76,0,0,0
day 77 - day 78,0,0,0
day 79 - day 80,0,0,0
day 81 - day 82,0,0,0
day 83 - day 84,0,0,0
day 85 - day 86,0,0,0
day 87 - day 88,0,0,0
day 89 - day 90,0,0,0
day 91 - day 92,0,0,0
day 93 - day 94,0,0,0
day 95 - day 96,0,0,0
day 97 - day 98,0,0,0
day 99 - day 100,0,0,0
day 101 - day 102,0,0,0
day 103 - day 104,0,0,0
day 105 - day 106,0,0,0
day 107 - day 108,0,0,0
day 109 - day 110,0,0,0
day 111 - day 112,0,0,0
day 113 - day 114,0,0,0
day 115 - day 116,0,0,0
day 117 - day 118,0,0,0
day 119 - day 120,0,0,0
day 121 - day 122,0,0,0
day 123 - day 124,0,0,0
day 125 - day 126,0,0,0
day 127 - day 128,0,0,0
day 129 - day 130,0,0,0
day 131 - day 132,0,0,0
day 133 - day 134,0,0,0
day 135 - day 136,0,0,0
day 137 - day 138,0,0,0
day 139 - day 140,0,0,0
day 141 - day 142,0,0,0
day 143 - day 144,0,0,0
day 145 - day 146,0,0,0
day 147 - day 148,0,0,0
day 149 - day 150,0,0,0
day 151 - day 152,0,0,0
day 153 - day 154,0,0,0
day 155 - day 156,0,0,0
day 157 - day 158,0,0,0
day 159 - day 160,0,0,0
day 161 - day 162,0,0,0
day 163 - day 164,0,0,0
day 165 - day 166,0,0,0
day 167 - day 168,0,0,0
day 169 - day 170,0,0,0
day 171 - day 172,0,0,0
day 173 - day 174,0,0,0
day 175 - day 176,0,0,0
day 177 - day 178,0,0,0
day 179 - day 180,0,0,0
day 181 - day 182,0,0,0
day 183 - day 184,0,0,0
day 185 - day 186,0,0,0
day 187 - day 188,0,0,0
day 189 - day 190,0,0,0
day 191 - day 192,0,0,0
day 193 - day 194,0,0,0
day 195 - day 196,0,0,0
day 197 - day 198,0,0,0
day 199 - day 200,0,0,0
day 201 - day 202,0,0,0
day 203 - day 204,0,0,0
day 205 - day 206,0,0,0
day 207 - day 208,0,0,0
day 209 - day 210,0,0,0
day 211 - day 212,0,0,0
day 213 - day 214,0,0,0
day 215 - day 216,0,0,0
day 217 - day 218,0,0,0
day 219 - day 220,0,0,0
day 221 - day 222,0,0,0
day 223 - day 224,0,0,0
day 225 - day 226,0,0,0
day 227 - day 228,0,0,0
day 229 - day 230,0,0,0
day 231 - day 232,0,0,0
day 233 - day 234,0,0,0
day 235 - day 236,0,0,0
day 237 - day 238,0,0,0
day 239 - day 240,0,0,0
day 241 - day 242,0,0,0
day 243 - day 244,0,0,0
day 245 - day 246,0,0,0
day 247 - day 248,0,0,0
day 249 - day 250,0,0,0
day 251 - day 252,0,0,0
day 253 - day 254,0,0,0
day 255 - day 256,0,0,0
day 257 - day 258,0,0,0
day 259 - day 260,0,0,0
day 261 - day 262,0,0,0
day 263 - day 264,0,0,0
day 265 - day 266,0,0,0
day 267 - day 268,0,0,0
day 269 - day 270,0,0,0
day 271 - day 272,0,0,0
day 273 - day 274,0,0,0
day 275 - day 276,0,0,0
day 277 - day 278,0,0,0
day 279 - day 280,0,0,0
day 281 - day 282,0,0,0
day 283 - day 284,0,0,0
day 285 - day 286,0,0,0
day 287 - day 288,0,0,0
day 289 - day 290,0,0,0
day 291 - day 292,0,0,0
day 293 - day 294,0,0,0
day 295 - day 296,0,0,0
day 297 - day 298,0,0,0
day 299 - day 300,0,0,0
day 301 - day 302,0,0,0
day 303 - day 304,0,0,0
day 305 - day 306,0,0,0
day 307 - day 308,0,0,0
day 309 - day 310,0,0,0
day 311 - day 312,0,0,0
day 313 - day 314,0,0,0
day 315 - day 316,0,0,0
day 317 - day 318,0,0,0
day 319 - day 320,0,0,0
day 321 - day 322,0,0,0
day 323 - day 324,0,0,0
day 325 - day 326,0,0,0
day 327 - day 328,0,0,0
day 329 - day 330,0,0,0
day 331 - day 332,0,0,0
day 333 - day 334,0,0,0
day 335 - day 336,0,0,0
day 337 - day 338,0,0,0
day 339 - day 340,0,0,0
day 341 - day 342,0,0,0
day 343 - day 344,0,0,0
day 345 - day 346,0,0,0
day 347 - day 348,0,0,0
day 349 - day 350,0,0,0
day 351 - day 352,0,0,0
day 353 - day 354,0,0,0
day 355 - day 356,0,0,0
day 357 - day 358,0,0,0
day 359 - day 360,0,0,0
day 361 - day 362,0,0,0
day 363 - day 364,0,0,0
